[2025-07-02 21:50:19] [INFO    ] discord.client: logging in using static token
[2025-07-02 21:50:20] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-02 21:50:20] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-02 21:50:20] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1388632700931412038', 'username': 'Quizz_bot', 'avatar': None, 'discriminator': '4386', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-02 21:50:20] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-02 21:50:20] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-02 21:50:20] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1388632700931412038', 'name': 'Quizz_bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1388632700931412038', 'username': 'Quizz_bot', 'avatar': None, 'discriminator': '4386', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'f30beb5eb8d966f9d79ca53e9324a3a6e943d7f69cb1a339e9f14e3c4d8b22be', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '207086644229046272', 'username': 'numbred', 'avatar': '3be21246b578b0b447f5174593ed3d6e', 'discriminator': '0', 'public_flags': 4194432, 'flags': 4194432, 'banner': 'a_d6fb96dc3b91106ad872978fa0a15c46', 'accent_color': None, 'global_name': 'Numbred', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': {'identity_guild_id': '1215070204611133510', 'identity_enabled': True, 'tag': 'ALGO', 'badge': '723f9e19e5a65a7ee484a517b159e3cf'}, 'primary_guild': {'identity_guild_id': '1215070204611133510', 'identity_enabled': True, 'tag': 'ALGO', 'badge': '723f9e19e5a65a7ee484a517b159e3cf'}}, 'approximate_guild_count': 3, 'approximate_user_install_count': 1, 'approximate_user_authorization_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-02 21:50:20] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-02 21:50:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-5bk5",{"micros":0.0}]']}}
[2025-07-02 21:50:20] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-02 21:50:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-02 21:50:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Quizz_bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1388632700931412038', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4386', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '4864b365a097fcd00cfaccd1ac7329e2', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '474506888457879562'}, {'unavailable': True, 'id': '1388979493703520276'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['milan', 'paris', 'frankfurt', 'frankfurt-two', 'rotterdam'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1388632700931412038', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-b-5bk5",{"micros":65764,"calls":["id_created",{"micros":577,"calls":[]},"session_lookup_time",{"micros":420,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-100",{"micros":64467,"calls":["start_session",{"micros":55622,"calls":["discord-api-rpc-5f544bbbf7-c74zb",{"micros":42848,"calls":["get_user",{"micros":6274},"get_guilds",{"micros":3444},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":10},"authorized_ip_coro",{"micros":23},"pending_payments",{"micros":3653},"apex_experiments",{"micros":1145},"user_activities",{"micros":5},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":26,"calls":[]},"presence_started",{"micros":312,"calls":[]},"guilds_started",{"micros":88,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":8398,"calls":[]},"connect_finished",{"micros":8404,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-07-02 21:50:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-02 21:50:20] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 4864b365a097fcd00cfaccd1ac7329e2).
[2025-07-02 21:50:20] [DEBUG   ] discord.client: Dispatching event connect
[2025-07-02 21:50:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'max_members': 1500000, 'max_video_channel_users': 25, 'icon': None, 'preferred_locale': 'en-US', 'system_channel_flags': 0, 'profile': None, 'presences': [], 'mfa_level': 0, 'default_message_notifications': 0, 'owner_configured_content_level': 0, 'incidents_data': None, 'banner': None, 'public_updates_channel_id': None, 'emojis': [], 'owner_id': '207086644229046272', 'id': '1388979493703520276', 'members': [{'user': {'username': 'Quizz_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1388632700931412038', 'global_name': None, 'display_name': None, 'discriminator': '4386', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1388980017035345993'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-29T20:30:42.107000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'member_count': 3, 'name': 'Serveur de Numbred', 'system_channel_id': '1388979494148247656', 'application_id': None, 'large': False, 'region': 'deprecated', 'embedded_activities': [], 'roles': [{'version': 1751228917393, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1388979493703520276', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1751229042084, 'unicode_emoji': None, 'tags': {'bot_id': '1388632700931412038'}, 'position': 1, 'permissions': '8', 'name': 'Quizz_bot', 'mentionable': False, 'managed': True, 'id': '1388980017035345993', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'premium_progress_bar_enabled': False, 'threads': [], 'moderator_reporting': None, 'features': [], 'inventory_settings': None, 'home_header': None, 'rules_channel_id': None, 'lazy': True, 'nsfw': False, 'splash': None, 'vanity_url_code': None, 'description': None, 'joined_at': '2025-06-29T20:30:42.107000+00:00', 'guild_scheduled_events': [], 'stickers': [], 'premium_features': None, 'explicit_content_filter': 0, 'stage_instances': [], 'channels': [{'version': 1751228917398, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Salons textuels', 'id': '1388979494148247654', 'flags': 0}, {'version': 1751228917401, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Salons vocaux', 'id': '1388979494148247655', 'flags': 0}, {'version': 1751228917409, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1388979494148247654', 'name': 'général', 'last_message_id': '1390056958123573299', 'id': '1388979494148247656', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1751228917416, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1388979494148247655', 'name': 'Général', 'last_message_id': None, 'id': '1388979494148247657', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'premium_tier': 0, 'nsfw_level': 0, 'application_command_counts': {}, 'afk_channel_id': None, 'activity_instances': [], 'premium_subscription_count': 0, 'voice_states': [], 'soundboard_sounds': [], 'max_stage_video_channel_users': 50, 'safety_alerts_channel_id': None, 'latest_onboarding_question_id': None, 'discovery_splash': None, 'unavailable': False, 'version': 1751228917422, 'verification_level': 0, 'hub_type': None, 'afk_timeout': 300}}
[2025-07-02 21:50:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
